file_id,filename,file_size_kb,file_size_mb,slide_count,word_count,avg_words_per_slide,file_extension
1,25OOF5WZSJ4M6JG3BPYDO56GYBR65WET.ppt,264.0,0.26,8,160,20.0,.ppt
2,25ULXWYQWGS6YUMPQVIXWIH6M6KR4KVH.ppt,1100.0,1.07,9,585,65.0,.ppt
3,2BAXW45Y275TQX4RSSQ7E2GPM6QNJQSL.ppt,87.0,0.08,2,40,20.0,.ppt
4,2C45NWO7FMTDRTBBR6FA442OZKSCLGZZ.ppt,82.0,0.08,2,40,20.0,.ppt
5,2KIPLZ3S2E67IXIAOCHCRCXKOF2JWAGN.ppt,34147.34375,33.35,170,15300,90.0,.ppt
6,2KX5TCHOALSE53JKUOQYXIT6HEP4ZVXS.ppt,1118.0009765625,1.09,9,585,65.0,.ppt
7,2L5JFJNVCBULD4V5UFNMPUKWM3BYSSYC.ppt,729.5,0.71,9,405,45.0,.ppt
8,2NYYOQN3UKYWMKXDAMTWP4ZNMGBBTLCA.ppt,229.0,0.22,7,140,20.0,.ppt
9,2OQH2WVZYVMWHBOMN2VC26AYAGQD5QVN.ppt,2537.5,2.48,21,1365,65.0,.ppt
10,2PHUFFLNB6NVJXNP7AOT4UUAXQN6LDFP.ppt,4498.0,4.39,22,1980,90.0,.ppt
11,2Q6UFCQZ4RM3AWZ7DUIXQQEOSUPCXYOH.ppt,986.0,0.96,8,520,65.0,.ppt
12,2QFYONKPG3566U3YFPHXY6T7JLCK6VE4.ppt,1104.5,1.08,9,585,65.0,.ppt
13,2SUDV5APSI32EU5XVPLVQ6RLHMFDAYWY.ppt,372.5,0.36,4,180,45.0,.ppt
14,2UZWOMCY3DPW5PH3VMX7OAAG7V4HEYH3.ppt,431.0,0.42,5,225,45.0,.ppt
15,2VG54YF5YAV44ZTZRE77NUNF3Z42EOMT.ppt,29259.0,28.57,146,13140,90.0,.ppt
16,2W4FR5QCNIDWDPDHSOPQRQFPNBUSU5HJ.ppt,1933.5,1.89,16,1040,65.0,.ppt
17,2WQIM42NL52W7P6HYUBFYZZRUM7V6RAL.ppt,1214.0,1.19,10,650,65.0,.ppt
18,2ZSMV7KZIVJZ2FR7WZFLPUN54ZIAJY2P.ppt,249.5,0.24,8,160,20.0,.ppt
19,32SRAKXYHUECCJ53WTCS2KEOVQB3ATZY.ppt,1359.0,1.33,11,715,65.0,.ppt
20,344OQNBRKQTM4BX3U3ZJ3AYRZQL7FZRG.ppt,621.0,0.61,7,315,45.0,.ppt
21,3AEL7UUQTMHI65PZHCFJ5BGMRO43JBLE.ppt,9929.0,9.7,49,4410,90.0,.ppt
22,3C5JMYXUHB76NM3MIGF3BFA7SSOLIJ4A.ppt,669.5,0.65,8,360,45.0,.ppt
23,3EJF7F35J377CRUC6A2ZFPX3YTJJ6GC6.ppt,1245.5,1.22,10,650,65.0,.ppt
24,3F2AIMI3HJTKQCKUQTIVLB34ARNKQFOA.ppt,2236.5,2.18,18,1170,65.0,.ppt
25,3HVZE4VXUHEO2C7F5OPLHN33QLDIO7QS.ppt,1421.0,1.39,11,715,65.0,.ppt
26,3JVULO6MYGGHOV3UKF42BCQVPFWMIT64.ppt,30.453125,0.03,1,20,20.0,.ppt
27,3KXSMTT4I7UGB6WGMCDSKKAJBJ456GMG.ppt,1497.5,1.46,12,780,65.0,.ppt
28,3M2KW33YIQ4LEWDMYNVH7AK7DFEZGHS3.ppt,209.0,0.2,6,120,20.0,.ppt
29,3MWU67M6BPTZ2F32HYFQBD7G7MSZRTYV.ppt,2510.5,2.45,20,1300,65.0,.ppt
